1688540185.342284 client started (24046): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1688540185.342317 on Darwin 22.5.0 Darwin Kernel Version 22.5.0: Thu Jun  8 22:22:19 PDT 2023; root:xnu-8796.121.3~7/RELEASE_ARM64_T8103
1688540185.342526 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1688540185.350140 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350143 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.350147 sending message 112 to peer 0x158048000 (9 bytes)
1688540185.350151 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350155 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350159 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350163 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350168 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350171 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350175 sending message 112 to peer 0x158048000 (9 bytes)
1688540185.350179 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350183 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350187 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350196 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350199 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350203 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350206 sending message 112 to peer 0x158048000 (11 bytes)
1688540185.350210 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350214 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350218 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350221 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350226 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350229 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350232 sending message 112 to peer 0x158048000 (11 bytes)
1688540185.350237 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350240 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350244 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350248 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350252 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350256 sending message 112 to peer 0x158048000 (21 bytes)
1688540185.350259 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350263 sending message 112 to peer 0x158048000 (9 bytes)
1688540185.350267 sending message 112 to peer 0x158048000 (6 bytes)
1688540185.350271 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350275 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.350280 sending message 112 to peer 0x158048000 (24 bytes)
1688540185.350284 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350288 sending message 112 to peer 0x158048000 (9 bytes)
1688540185.350292 sending message 112 to peer 0x158048000 (70 bytes)
1688540185.350298 sending message 112 to peer 0x158048000 (69 bytes)
1688540185.350302 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350306 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.350310 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.350313 sending message 112 to peer 0x158048000 (24 bytes)
1688540185.350317 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350321 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.350325 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.350328 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.350332 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350335 sending message 112 to peer 0x158048000 (15 bytes)
1688540185.350339 sending message 112 to peer 0x158048000 (5 bytes)
1688540185.350344 sending message 104 to peer 0x158048000 (0 bytes)
1688540185.350349 sending message 110 to peer 0x158048000 (0 bytes)
1688540185.350353 sending message 107 to peer 0x158048000 (4 bytes)
1688540185.350358 sending message 105 to peer 0x158048000 (20 bytes)
1688540185.350363 sending message 105 to peer 0x158048000 (22 bytes)
1688540185.350366 sending message 105 to peer 0x158048000 (22 bytes)
1688540185.350370 sending message 105 to peer 0x158048000 (15 bytes)
1688540185.350373 sending message 105 to peer 0x158048000 (18 bytes)
1688540185.350379 sending message 105 to peer 0x158048000 (1086 bytes)
1688540185.350388 sending message 105 to peer 0x158048000 (15 bytes)
1688540185.350392 sending message 105 to peer 0x158048000 (66 bytes)
1688540185.350396 sending message 105 to peer 0x158048000 (22 bytes)
1688540185.350400 sending message 105 to peer 0x158048000 (20 bytes)
1688540185.350403 sending message 105 to peer 0x158048000 (26 bytes)
1688540185.350407 sending message 105 to peer 0x158048000 (51 bytes)
1688540185.350413 sending message 105 to peer 0x158048000 (57 bytes)
1688540185.350417 sending message 105 to peer 0x158048000 (15 bytes)
1688540185.350421 sending message 105 to peer 0x158048000 (30 bytes)
1688540185.350425 sending message 105 to peer 0x158048000 (23 bytes)
1688540185.350429 sending message 105 to peer 0x158048000 (14 bytes)
1688540185.350433 sending message 105 to peer 0x158048000 (19 bytes)
1688540185.350443 sending message 105 to peer 0x158048000 (42 bytes)
1688540185.350447 sending message 105 to peer 0x158048000 (38 bytes)
1688540185.350451 sending message 105 to peer 0x158048000 (8 bytes)
1688540185.350455 sending message 105 to peer 0x158048000 (34 bytes)
1688540185.350459 sending message 105 to peer 0x158048000 (48 bytes)
1688540185.350462 sending message 105 to peer 0x158048000 (32 bytes)
1688540185.350464 sending message 105 to peer 0x158048000 (11 bytes)
1688540185.350468 sending message 105 to peer 0x158048000 (8 bytes)
1688540185.350471 sending message 105 to peer 0x158048000 (32 bytes)
1688540185.350475 sending message 105 to peer 0x158048000 (96 bytes)
1688540185.350481 sending message 105 to peer 0x158048000 (30 bytes)
1688540185.350485 sending message 105 to peer 0x158048000 (16 bytes)
1688540185.350489 sending message 105 to peer 0x158048000 (57 bytes)
1688540185.350493 sending message 105 to peer 0x158048000 (66 bytes)
1688540185.350496 sending message 105 to peer 0x158048000 (47 bytes)
1688540185.350500 sending message 105 to peer 0x158048000 (42 bytes)
1688540185.350504 sending message 105 to peer 0x158048000 (22 bytes)
1688540185.350507 sending message 105 to peer 0x158048000 (25 bytes)
1688540185.350511 sending message 106 to peer 0x158048000 (0 bytes)
1688540185.350560 sending message 200 to peer 0x158048000 (4 bytes)
1688540185.350564 client loop enter
1688540185.350579 client_signal: Child exited: 20
1688540185.398900 peer 0x158048000 message 207
1688540185.398909 sending message 208 to peer 0x158048000 (0 bytes)
1688540190.418188 peer 0x158048000 message 203
1688540190.418206 sending message 205 to peer 0x158048000 (0 bytes)
1688540190.418503 peer 0x158048000 message 204
1688540190.418523 client loop exit
